"PlotName","Trial","Name","Block","Plot","Row","Column","ID","NGRDI","BGI","myIndex","ID","dsm"
"14","T1","T1_14",1,14,1,14,1,0.237089857748159,0.583750744481798,0.0375046907428016,1,276.221890815857
"13","T1","T1_1",1,13,1,13,2,0.257819391409385,0.500519858623257,0.0932602335396577,2,276.128109361256
"12","T1","T1_39",1,12,1,12,3,0.239932735906344,0.518940495331966,0.0977696095982001,3,276.08754998809
"11","T1","T1_26",1,11,1,11,4,0.215851065741046,0.555408008728717,0.0941179241412946,4,276.11653585967
"10","T1","T1_80",1,10,1,10,5,0.233190583935753,0.554280571551873,0.0724454325886779,5,276.278575649983
"9","T1","T1_7",1,9,1,9,6,0.224895476723453,0.54433708566181,0.0924392539120187,6,276.217350164556
"8","T1","T1_56",1,8,1,8,7,0.257998476707323,0.467181794633995,0.127405947119026,7,276.049679178394
"7","T1","T1_3",1,7,1,7,8,0.262857690863894,0.464069050423398,0.12398595335408,8,276.172143405825
"6","T1","T1_104",1,6,1,6,9,0.243783801396448,0.51995026915856,0.09411297614786,9,276.146294669747
"5","T1","T1_8",1,5,1,5,10,0.177341071125806,0.628071668009484,0.0785649497839329,10,276.050580974596
"4","T1","T1_90",1,4,1,4,11,0.280968019569391,0.481142929212275,0.0846542466670713,11,276.117450816297
"3","T1","T1_84",1,3,1,3,12,0.283540657367298,0.478225627982091,0.0853345913582445,12,276.000243395825
"2","T1","T1_76",1,2,1,2,13,0.240170582988665,0.526091349885918,0.0935793821946277,13,275.998603342165
"1","T1","T1_19",1,1,1,1,14,0.227286804108699,0.564530675165484,0.0713483312036798,14,276.104778884384
"15","T1","T1_54",1,15,2,14,15,0.266824168104749,0.467800994787351,0.114508320710939,15,276.114129590391
"16","T1","T1_29",1,16,2,13,16,0.206545190030814,0.496110302270536,0.167855684653097,16,276.040334125588
"17","T1","T1_77",1,17,2,12,17,0.215974714877759,0.514559531874224,0.136604745032072,17,276.102340221283
"18","T1","T1_25",1,18,2,11,18,0.253162794807636,0.548684243161874,0.0524299979422251,18,276.292935888836
